"Statutaire naam";"Handelsnaam";"Statutaire zetel"
"Preventum GmbH";"Preventum GmbH";""
"Price Forbes & Partners Limited";"Price Forbes & Partners Limited";""
"Price Forbes Europe";"Price Forbes Europe";""
"PricewaterhouseCoopers Pensions, Actuarial & Insurance Services B.V.";"PricewaterhouseCoopers Pensions, Actuarial & Insurance Services B.V.";"AMSTERDAM"
"Pricewise Verzekeringen en Financiële diensten B.V.";"Pricewise Verzekeringen en Financiële diensten B.V., AutoVerzekeringVergelijken, BestelAuto-verzekeren, BestelAuto-verzekering-vergelijken, Goedkope-autoverzekering-vergelijken, PrizeWize Verzekeringen, Vergelijk-alle-autoverzekeringen, VergelijkAutoverzekeringen, autoverzekering.rdwdata.nl, www.zorgverzekeringen-vergelijken.nl, Pricewise, Pricewise.nl, auto-verzekering-vergelijken.net, autoverzekeringen-vergelijken.nl";"GEMEENTE AMSTERDAM"
"Pride Sales & Marketing Ltd";"Pride Sales & Marketing Ltd";""
"Prijssnijder B.V.";"Prijssnijder B.V.";"SCHIEDAM"
"Prima Pensioen";"Prima Pensioen, Prima Pensioen";"Enschede"
"Prima voor elkaar B.V.";"Prima voor elkaar B.V.";"OCHTEN"
"Primair Arbeidsvoorwaarden Advies";"Primair Arbeidsvoorwaarden Advies, Primair Arbeidsvoorwaarden Advies, Primair";"Lisse"
"Primassure Limited";"Primassure Limited";"RAYLEIGH - ESSEX"
"PRIME ASSURANCES SAS";"PRIME ASSURANCES SAS";"Parijs"
"PRIME INSURANCE BROKER SRL";"PRIME INSURANCE BROKER SRL";"FORMELLO (RM)"
"Prime Mover Underwriting Ltd";"Prime Mover Underwriting Ltd";""
"Primera (D. van der Wijk-Land)";"Primera (D. van der Wijk-Land), Primera (D. van der Wijk-Land)";"Grootegast"
"Primera Aalten";"Primera Aalten, Primera Aalten";"Aalten"
"Primera Admiraal de Ruijterweg";"Primera Admiraal de Ruijterweg";"Amsterdam"
"Primera Alblasserdam B.V.";"Primera Alblasserdam B.V., Primera Alblasserdam B.V.";"ALBLASSERDAM"
"Primera Bladel";"Primera Bladel";"Bladel"
"Primera Bolsward";"Primera Bolsward";"Bolsward"
"Primera 'De Gele Klap'";"Primera 'De Gele Klap'";"Bedum"
"Primera Eemnes";"Primera Eemnes";"Eemnes"
"Primera Foto Van Rooij B.V.";"Primera Foto Van Rooij B.V.";"EINDHOVEN"
"Primera Haitsma";"Primera Haitsma";"Franeker"
"Primera Kaatsheuvel V.O.F.";"Primera Kaatsheuvel V.O.F., Primera Kaatsheuvel V.O.F.";"Kaatsheuvel"
"Primera Kalloe v.o.f.";"Primera Kalloe v.o.f., Primera Kalloe v.o.f.";"'s-Gravenhage"
"Primera Keizerslanden";"Primera Keizerslanden";"Deventer"
"Primera Kloosterveste";"Primera Kloosterveste";"Assen"
"Primera Kok Damlaan B.V.";"Primera Kok Damlaan B.V.";"GEMEENTE LEIDSCHENDAM-VOORBURG"
"Primera Kok Raadhuisplein B.V.";"Primera Kok Raadhuisplein B.V.";"Bodegraven"
"Primera Kok Ter Aar B.V.";"Primera Kok Ter Aar B.V.";"GEMEENTE NIEUWKOOP"
"Primera Kopermolen vof";"Primera Kopermolen vof";"Zoetermeer"
"Primera Marum";"Primera Marum, Primera Marum";"Marum"
"Primera Molenwijk";"Primera Molenwijk";"Amsterdam"
"Primera Nieuw-Amsterdam";"Primera Nieuw-Amsterdam, Primera Nieuw-Amsterdam";"Nieuw-Amsterdam"
"Primera Nieuwkoop B.V.";"Primera Nieuwkoop B.V.";"AALSMEER"
"Primera Nieuw-Lekkerland V.O.F.";"Primera Nieuw-Lekkerland V.O.F., Primera Nieuw-Lekkerland V.O.F.";"NIEUW-LEKKERLAND"
"Primera Plantinga";"Primera Plantinga";"Heythuysen"
"Primera Polder Carnisseveste B.V.";"Primera Polder Carnisseveste B.V.";"BARENDRECHT"
"Primera Polder Rhoon B.V.";"Primera Polder Rhoon B.V., Primera Polder Rhoon B.V.";"RHOON (GEMEENTE ALBRANDSWAARD)"
"Primera Polder Walburg B.V.";"Primera Polder Walburg B.V.";"ZWIJNDRECHT"
"Primera Postkantoor Landaal";"Primera Postkantoor Landaal, Primera Postkantoor Landaal";"Zeist"
"Primera Sint Oedenrode B.V.";"Primera Sint Oedenrode B.V., Primera Sint Oedenrode B.V.";"SINT OEDENRODE"
"Primera Sloot";"Primera Sloot";"Dieren"
"Primera Smaragdplein";"Primera Smaragdplein";"Utrecht"
"Primera Soeters B.V.";"Primera Soeters B.V.";"GEMEENTE MOERDIJK"
"Primera Stein";"Primera Stein, Primera Stein";"Stein"
"Primera Tabor V.O.F.";"Primera Tabor V.O.F., Primera Tabor V.O.F.";"Eerbeek"
"Primera Van Walsem";"Primera Van Walsem";"Veenendaal"
"Primera Voorhout";"Primera Voorhout";"Voorhout"
"Primera Weesp";"Primera Weesp";"Weesp"
"Primera Wieringerwerf";"Primera Wieringerwerf";"Wieringerwerf"
"Primera Zwanenburg B.V.";"Primera Zwanenburg B.V., Primera Zwanenburg B.V.";"ZWANENBURG"
"Prince Financiële Dienstverlening Amersfoort   B.V.";"Prince Financiële Dienstverlening Amersfoort   B.V., Hypotheekshop Amersfoort";"AMERSFOORT"
"Princenhaeghe";"Princenhaeghe Advies & Bemiddeling, Princenhaeghe";"'s-Gravenhage"
"Principals In Practice Ltd";"Principals In Practice Ltd";""
"Principle Försäkring AB";"Principle Försäkring AB";"Stockholm"
"Principle Försäkrings AB";"Principle Försäkrings AB";"Stockholm"
"Prins & van Urk Financieel Advies B.V.";"Prins & van Urk Financieel Advies B.V., Prins & van Urk financieel advies B.V.";"BAARN"
"Prins Auto B.V.";"Prins Auto B.V.";"ALBLASSERDAM"
"Prins Nederhof";"Prins Nederhof";"Nederhorst den Berg"
"Prinsen h.o.d.n. Bruna";"Prinsen h.o.d.n. Bruna, Prinsen h.o.d.n. Bruna";"Nijverdal"
"Prinsenland B.V.";"Prinsenland B.V.";"ROZENBURG ZH"
"Prio Pensioenadvies";"Prio Pensioenadvies";"Oisterwijk"
"Prior Financiële Diensten B.V.";"Prior Financiële Diensten B.V.";"HOORN NH"
"Priority Power Limited (Appointed representative for Ambant Underwriting Services Limited)";"Priority Power Limited (Appointed representative for Ambant Underwriting Services Limited)";""
"Priority Traders";"Priority Traders, Priority Traders";"WEESP"
"Prisma";"Prisma";"NEERPELT"
"Prisma BVBA";"Prisma BVBA";""
"Prisma Insurance Broker srl";"Prisma Insurance Broker srl";""
"Prisma Selekt Nederland";"Prisma Selekt Nederland";"Middelaar"
"Privaet Financieel Maatwerk";"Privaet Financieel Maatwerk, Privaet Financieel Maatwerk";"Maastricht"
"Private Broking S.r.l.";"Private Broking S.r.l.";"Milano"
"Private Insurance Assuradeuren B.V.";"Private Insurance Assuradeuren B.V.";"WEERT"
"Private Insurance Nederland B.V.";"Private Insurance Nederland B.V.";"ROTTERDAM"
"Privilege Finance B.V.";"Privilege Finance B.V., Pretium Finance";"HAARLEM"
"PRMD Vastgoed Management B.V.";"PRMD Vastgoed Management B.V.";"'S-GRAVENHAGE"
"Pro Advies & Assurantiën B.V.";"Pro Advies & Assurantiën B.V.";"GEMEENTE TYNAARLO"
"PRO AKTIEF VERZEKERINGEN BVBA";"PRO AKTIEF VERZEKERINGEN BVBA";""
"Pro Assurantiën B.V.";"Pro Assurantiën B.V.";"ROTTERDAM"
"Pro Cura Verzekeringen";"Pro Cura Verzekeringen, Pro Cura Verzekeringen";"Drachten"
"Pro Domains";"Pro Domains";"Zevenbergen"
"Pro E-Bike B.V.";"Pro E-Bike B.V.";"BREDA"
"Pro Finance B.V.";"Pro Finance, Pro Finance BV, Pro Finance B.V.";"AMSTERDAM"
"Pro Insurance Solutions Ltd";"Pro Insurance Solutions Ltd";""
"Pro Kitchens Hattem B.V.";"Pro Kitchens Hattem B.V.";"GEMEENTE HATTEM"
"Pro Risk Assurantiën B.V.";"Mijnzorgadviseur.nl, Pro Risk Assurantiën B.V., Pro Risk Adviesbureau, Pro Risk Assuradeuren, Pro Risk Assurantiën, Pro Risk Pensioen Adviesbureau";"ALKEMADE"
"Pro Visie";"Pro Visie";"Burgh-Haamstede"
"Pro VVE Beheer B.V.";"Pro VVE Beheer B.V.";"RIJSWIJK"
"Proactief Business Partners B.V.";"Proactief Business Partners B.V., MKBpolisvoordeel.nl, Eigenhuisvoordeel.nl, Huurdersvoordeel.nl, Hepimiz Verzekeringen";"HARDERWIJK"
"PROambt B.V.";"PROambt B.V., PROambt Advies b.v.";"MAASTRICHT"
"ProBewindvoerders B.V.";"ProBewindvoerders B.V., Rappórt Erik Lapré";"BAARN"
"Procon assurantiën";"Procon assurantiën, Procon assurantiën, Procon Hypotheken";"Alphen aan den Rijn"
"ProCreda GmbH";"ProCreda GmbH";""
"Procura Seguro B.V.";"Procura Seguro B.V.";"ROTTERDAM"
"Procuraat Assuradeuren B.V.";"Procuraat Assuradeuren B.V.";"ENSCHEDE"
"ProDoc B.V.";"ProDoc B.V., Xenter";"VELDHOVEN"
"Prof.Dr. Ulrich Olaf Schneider";"Prof.Dr. Ulrich Olaf Schneider";""
"Profect Financieel Adviseurs";"Profect Financieel Adviseurs";"Enschede"
"Professional Financial Advisers Limited";"Professional Financial Advisers Limited";""
"Professional Indemnity Protect Ltd.";"Professional Indemnity Protect Ltd.";"MANCHESTER - LANCASHIRE"
"Professional Insurance Agents Ltd";"Professional Insurance Agents Ltd";""
"Professional Investment Consultants (Europe) S.A.";"Professional Investment Consultants (Europe) S.A.";"Luxemburg"
"Professional Pensions and Investments Limited";"Professional Pensions and Investments Limited";"SALISBURY - WILTSHIRE"
"Professional Travel Insurance Company Limited";"Professional Travel Insurance Company Limited";"EUROPORT"
"Profez Groen B.V.";"Profez Groen B.V.";"GEMEENTE HENGELO (OVERIJSSEL)"
"Profijt Meubel Oldenzaal B.V.";"Profijt Meubel Oldenzaal B.V., Profijt Meubel Oldenzaal B.V.";"OLDENZAAL"
"Profijtadvies";"Profijtadvies, Profijtadvies";"Abbekerk"
"Profile Broeksema";"Profile Broeksema";"Enschede"
"Profile Erik Brüning V.O.F.";"Profile Erik Brüning V.O.F.";"Klazienaveen"
"Profile Fitters";"Profile Fitters";"Vlijmen"
"Profile Lentink";"Profile Lentink";"Velp"
"Profile Mekkes & van Gerwen V.O.F.";"Profile Mekkes & van Gerwen V.O.F.";"Geldrop"
"Profile Mondt";"Profile Mondt";"'s-Gravenzande"
"Profile Risk Solutions Limited";"Profile Risk Solutions Limited";"Braintree, Essex"
"Profile Roel Peerenboom";"Profile Roel Peerenboom";"Wageningen"
"Profile Rudie Assink";"Profile Rudie Assink, Profile Rudie Assink";"Raalte"
"Profile Soest B.V.";"Profile Soest B.V., Smeeing Fietsen, Hart voor Fietsen";"SOEST"
"Profile van der Hut";"Profile van der Hut";"'s-Gravenhage"
"Profile Van der Linde B.V.";"Profile Van der Linde B.V.";"ALMERE"
"Profile van Polanen, de fietsspecialist";"Profile van Polanen, de fietsspecialist";"Leiden"
"Profile Wijnen";"Profile Wijnen";"Echt"
"Profiler Financial Consultancy B.V.";"FAB Finance, Profiler Financial Consultancy B.V.";"VLIJMEN"
"Profin Financiële en Assurantieadviseurs B.V.";"Profin Financiële en Assurantieadviseurs B.V., Private Planners";"AMERSFOORT"
"Profina Finanz- und Vemögensberatung GmbH";"Profina Finanz- und Vemögensberatung GmbH";""
"PROFINACAPITAL GmbH";"PROFINACAPITAL GmbH";""
"Profinan Advies B.V.";"Profinan Advies B.V.";"OUDE-TONGE"
"Profins B.V.";"Profins B.V.";"LEEUWARDEN"
"Profit Auto Service";"Profit Auto Service";"Boxtel"
"Profit Hypotheken";"Profit Hypotheken";"Groningen"
"Profundia Consulting GmbH";"Profundia Consulting GmbH";""
"Progentis NV";"Progentis NV";""
"Progrezz Zakelijke Verzekeringen";"Progrezz Zakelijke Verzekeringen, Progrezz Verzekeringen, Progrezz Pensioenen Verzekeringen, www.neemgeenrisico.nl";"Nieuwdorp"
"Pro-In Advies B.V.";"Pro-In Advies B.V.";"POELDIJK, GEMEENTE WESTLAND"
"ProInvestment Vermögenstreuhandgesellschaft mbH";"ProInvestment Vermögenstreuhandgesellschaft mbH";""
"Pro-Motor B.V.";"Pro-Motor B.V., MOTOPORT WATERINGEN";"BERGSCHENHOEK, GEMEENTE LANSINGERLAND"
"Promptus advies";"Promptus advies, Levensloopcheck, Pensionplanner, Pensioen-Netwerk";"Haarlem"
"Prond Advies B.V.";"Futurum Groep, Prond Advies B.V.";"GEMEENTE ZEEWOLDE"
"Pronto Scooters B.V.";"Pronto Scooters B.V.";"SOEST"
"Pronto VVE Beheer B.V.";"Pronto VVE Beheer B.V.";"WESTERVOORT"
"Pronto Wonen Heerlen B.V.";"Pronto Wonen Heerlen B.V.";"Heerlen"
"ProPar Financiële Diensten";"ProPar Financiële Diensten, De Financiële Bedrijfsarts, De Financiële Huisarts, EBdesk Nederland, ProPar Financiële Diensten, Whole Life Nederland, De Financiele Apotheker, De Financiële Apotheek";"Sprang-Capelle"
"Properformance Srl";"Properformance Srl";"Rome"
"Property and Private Finance B.V.";"Property and Private Finance B.V.";"AMSTERDAM"
"Property Insurance Initiatives Limited";"Property Insurance Initiatives Limited";""
"Prorisc";"Prorisc";"Veldhoven"
"Prorisc Hypotheken";"Prorisc Hypotheken, Prorisc Hypotheken";"Veldhoven"
"ProRisks B.V.";"ProRisks B.V., Prorisk";"HOOGEVEEN"
"Prosec Försäkrings AB";"Prosec Försäkrings AB";"STOCKHOLM"
"Prosec Försäkringsaktiebolag";"Prosec Försäkringsaktiebolag";"STOCKHOLM"
"Prosec Insurance Co. Ltd";"Prosec Insurance Co. Ltd";"STOCKHOLM"
"Prosight Specialty Managing Agency Limited";"Prosight Specialty Managing Agency Limited";"London"
"Prosolve Adviesgroep B.V.";"Prosolve Adviesgroep B.V., proSolve Assurantiën, proSolve Automation, proSolve Pensioenen & Hypotheken";"OOSTERHOUT NB"
"ProSolve Assurantiën B.V.";"ProSolve Assurantiën B.V.";"OOSTERHOUT"
"Prospect Insurance Brokers Limited";"Prospect Insurance Brokers Limited";"London"
"Prosperity (GB) Limited";"Prosperity (GB) Limited";"AYLESBURY - BUCKINGHAMSHIRE"
"Prosperity Corporate Consultancy Ltd.";"Prosperity Corporate Consultancy Ltd.";"WEST MIDLANDS"
"Prosprius AG";"Prosprius AG";"Triesen"
"Prosure Solutions Limited";"Prosure Solutions Limited";""
"Protean Investment Risks Limited";"Protean Investment Risks Limited";""
"Protect Underwriting LLP";"Protect Underwriting LLP";"London"
"Proteq Levensverzekeringen N.V.";"Zelf, Proteq Levensverzekeringen N.V.";"ALKMAAR"
"PROTEUS Insure GmbH";"PROTEUS Insure GmbH";""
"Proteus Risk Solutions N.V.";"Proteus Risk Solutions N.V.";""
"Proud Customers B.V.";"Proud Customers B.V., Proud Experts, CAPTER";"NIJMEGEN"
"Proud Impact B.V.";"Proud Impact B.V., Proud Experts, CAPTER";"NIJMEGEN"
"ProVelo";"ProVelo";"Amsterdam"
"Providence Capital Holdings B.V.";"Providence Capital Holdings B.V.";"AMSTERDAM"
"Provident General Insurances Limited";"Provident General Insurances Limited";""
"Provina Internet Services";"Van Bruggen Adviesgroep Goes, Van Bruggen Adviesgroep Middelburg, Van Bruggen Adviesgroep Zierikzee, A.C. van Dijke t.h.o.d.n. Van Bruggen Adviesgroep Walcheren, Provina Internet Services";"Goes"
"Provins Marine AB";"Provins Marine AB";"SUNDSVALL"
"Provins Osséen Insurance AB";"Provins Osséen Insurance AB";"SUNDSVALL"
"Provision Financial Services";"Provision Financial Services";""
"Provite B.V.";"Provite B.V.";"'S-GRAVENHAGE"
"Prudalis B.V.";"Prudalis B.V., A & A Op Maat, Advies & Abonnement Op maat, Prudalis";"OOSTERHOUT"
"PruDent Consultancy";"PruDent Consultancy";"Oosterhout"
"Prudent VZP";"Prudent VZP, Lanona, Komcy, Prudent VZP";"Koudekerk aan den Rijn"
"Prudentium Adviesgroep B.V.";"Prudentium Adviesgroep, Prudentium Adviesgroep B.V.";"EINDHOVEN"
"Pruijssers Assurantiën B.V.";"Pruijssers Assurantiën B.V., Oomen Financiële Diensten";"MADE"
"PS Financial Advisers Ltd.";"PS Financial Advisers Ltd.";"HAMPSHIRE"
"PSA Financial Services Ltd";"PSA Financial Services Ltd";"GLEN PARVA  - LEICESTER"
"PSA Financial Services Nederland B.V.";"PSA Financial Services Nederland B.V., Citroën Assurance, Citroën Business Finance, Citroën Financial Services, Citroën Financiering Nederland, Citroën Leasing, Citroën Leasing en Financiering, my car_ finance, Peugeot Assurance, Peugeot Finance, Peugeot Lease, Peugeot Lease & Finance, PSA Finance";"ROTTERDAM"
"PSA Insurance Solutions Ltd.";"PSA Insurance Solutions Ltd.";"Ta' Xbiex "
"PSCars Schaijk";"PSCars Schaijk, PSCars Schaijk";"Schaijk"
"PSE Partners Limited";"PSE Partners Limited";""
"PSFM Ltd";"PSFM Ltd";"LONDON"
"PSK Advies B.V.";"PSK Advies B.V.";"DRACHTEN"
"PTRKS tevens h.o.d.n Kenneth Smit Training";"Trappel & Partners, PTRKS tevens h.o.d.n Kenneth Smit Training, PTRKS";"Hilversum"
"PTV ad interim & advies";"PTV ad interim & advies";"Asperen"
"Puilaetco GCV";"Puilaetco GCV";"BRUSSEL"
"Pullen & Partners Made B.V.";"Pullen & Partners Made B.V.";"RAAMSDONKSVEER"
"Pullen & Partners, Financieel adviseurs B.V.";"Pullen & Partners, Financieel adviseurs B.V., Pullen & Partners";"RIJSWIJK, GEMEENTE WOUDRICHEM"
"Pulles & Rijppaert Lifestyle- & Vermogensplanning";"Pulles & Rijppaert Lifestyle- & Vermogensplanning";"Haarlem"
"Pulsar Risk SRL";"Pulsar Risk SRL";"Roma"
"Pulse Insurance Limited";"Pulse Insurance Limited";""
"Punt Financiële Dienstverlening B.V.";"Punt Financiële Dienstverlening B.V., Punt Financiële Dienstverlening B.V. t.h.o.d.n. De Hypotheekshop";"UTRECHT"
"Punter Southall Defined Contribution Consulting Limited";"Punter Southall Defined Contribution Consulting Limited";"REDHILL - SURRRY"
"Punter Southall Health and Protection Consulting Limited";"Punter Southall Health and Protection Consulting Limited";""
"Pura Advies";"Pura Advies, J.W. van Dongen h.o.d.n. Pura, Pura";"Oosterhout"
"Pure B.V.";"Pure B.V.";"GEMEENTE AMSTERDAM"
"Put & Co Effectenbank CVA, Van de";"Put & Co Effectenbank CVA, Van de";"ANTWERPEN"
"Putman Assuradeuren B.V.";"FDC Putman, Putman Groep, Putman Assuradeuren B.V.";"MAASSLUIS"
"Puur Zakelijk / Servus VVE en Vastgoedbeheer V.O.F.";"Puur Zakelijk / Servus VVE en Vastgoedbeheer V.O.F.";"Reeuwijk"
"Puurbeheer";"Puurbeheer";"'s-Gravenhage"
"PVBO B.V.";"PVBO B.V.";"'S-HERTOGENBOSCH"
"PVG Financiële Dienstverlening";"PVG Financiële Dienstverlening, PVG Financiële Dienstverlening";"Valkenswaard"
"PVS Advies";"PVS Advies";"Nieuw-Vennep"
"PWS Konstanta S.A.";"PWS Konstanta S.A.";"Bielsko-Biala"
"Pyrstaete Assurantiën V.O.F.";"Pyrstaete Assurantiën, Pyrstaete Assurantiën & Hypotheken, Pyrstaete Assurantiën V.O.F.";"Huizen"
"PZ A-Beheer";"PZ A-Beheer";"Deventer"
"Q direct B.V.";"Q direct B.V., Quorim, VAB Boeijen, Dyckhaven Verzekeringen, Q4Motive, Archimedes Zekerheid, Jumbopolis";"SINT-OEDENRODE"
"Q Finance Financiële Dienstverlening";"Q Finance Financiële Dienstverlening, Q Finance Financiele Diensten";"Brunssum"
"Q Financieel B.V.";"Q Financieel B.V.";"ZWIJNDRECHT"
"Q in Finance";"Q in Finance, Aarts en Partners, Aarts en Partners Financieel Advies, Merlin Financiële Dienstverleners, Merlin Q in Finance";"Bergeijk"
"Q&S Financiële Diensten";"Q&S Financiële Diensten, Kredietoptiek, Q&S Financiële Diensten";"Soest"
"Q.A.H. Niesten Holding B.V.";"Q.A.H. Niesten Holding B.V.";"HEEMSKERK"
"Q.H. Niesten Verzekeringen B.V.";"Leo Boon Verzekeringen, Niesten Adviesgroep, Q.H. Niesten Verz. B.V. Niesten Adviesgroep, Q.H. Niesten Verzekeringen B.V., Niesten Adviesgroep / Van Warmerdam";"GEMEENTE BEVERWIJK"
"Qander Consumer Finance B.V.";"Qander Consumer Finance B.V., Directa.nl, EuroQuo Bijzonder Beheer, Directa, EuroQuo Incasso, PrimeLine, Yelder, Qander";"'S-HERTOGENBOSCH"
"QBE Europe SA/NV";"QBE Europe SA/NV";""
"QBENEFITS B.V.";"QBENEFITS B.V.";"LIMMEN"
"Q-Bike Service Rosmalen";"Q-Bike Service Rosmalen";"Rosmalen"
"Q-Counsellors Insurance Services B.V.";"Q-Counsellors Insurance Services BV, Q-Counsellors Insurance Services B.V.";"NAARDEN"
"Qdos Broker and Underwriting Services Ltd.";"Qdos Broker and Underwriting Services Ltd.";"LEICESTER - LEICESTERSHIRE"
"Qdos Global Limited";"Qdos Global Limited";""
"QL Verzekeringen B.V.";"QL Risk & Insurance Management, QL Verzekeringen, QL Verzekeringen B.V.";"VENRAY"
"Qonnex Finance B.V.";"Qonnex Finance B.V.";"GEMEENTE EPE"
"Qover SA";"Qover SA";"Jette"
"QP Advies VOF";"QP Advies VOF, QP Advies, QP Financieel Advies, Quatfass & Van der Plas Advies";"Katwijk"
"QPA International Broker SRL";"QPA International Broker SRL";""
"QPENSIOEN B.V.";"QPENSIOEN B.V.";"AMSTERDAM"
"Q-ratio B.V.";"Q-ratio B.V.";"KAAG"
"QSX INSURANCE B.V.";"QSX INSURANCE B.V.";"EEFDE, GEMEENTE LOCHEM"
"QSX Intermediaries B.V.";"AutoGap, CoverYou, QSX Insurance Solutions, QSX Packaging Solutions, QSX Reinsurance Solutions, QSX Verzekeringen, QSX-Verzekeringen.nl, QSX Intermediaries B.V.";"ROTTERDAM"
"Qua Finance";"Qua Finance";"Amersfoort"
"Qua Financiën Financieel Adviseurs";"Qua Financiën Financieel Adviseurs, Aquasure, QF Hypotheken, Qua Financien Financieel Adviseurs, Qua Financiën Financieel Adviseurs";"Amsterdam"
"Qua Financiën Financiële Planners B.V.";"Qua Financiën, Qua Financiën Financiële Planners, Qua Financiën Financiële Planners B.V.";"AMSTERDAM"
"Qua Financien Purmerend";"Qua Financien Purmerend";"Amsterdam"
"Qua Financiën Services B.V.";"Qua Financiën, Qua Financiën Services B.V.";"AMSTERDAM"
"Quaedvlieg-Hanen V.O.F.";"Assurantiekantoor Sjef Quaedvlieg, Quaedvlieg-Hanen V.O.F.";"Simpelveld"
"Quaesitum";"Quaesitum, Quaesitum, Quaesitum Hypotheken";"Almere"
"Quak & Knotters Financieel Adviseurs V.O.F.";"Quak & Knotters Financieel Adviseurs, Quak & Knotters Financieel Adviseurs V.O.F., Quak & Knotters pensioenadvies";"Hengelo"
"Quakel Assuradeuren B.V.";"Quakel Assuradeuren B.V.";"ALPHEN AAN DEN RIJN"
"Qualiora Groep B.V.";"Zorgeloos Wonen, Raad op Maat, Raad op Maat Verzekerd, Financieel Advieshuys Waalre, Zorgeloos Wonen Nederland, Qualiora Groep B.V., Financieel Zeker, YourHypotheek, Qualiora Groep BV, hypothekelaar";"EINDHOVEN"
"Quality Advice B.V.";"Quality Advice, Quality Advice B.V.";"ZWOLLE"
"Quality Scooters";"Quality Scooters";"Nuenen"
"Quality4You Financiële Diensten";"Quality4You Financiële Diensten, Quality4You Financiele Diensten";"Rotterdam"
"Quantified";"Quantified";"'S-GRAVENHAGE"
"Quantock Analytical Ltd";"Quantock Analytical Ltd";"Taunton Somerset"
"QUANTUM MANAGING GENERAL AGENT SRL";"QUANTUM MANAGING GENERAL AGENT SRL";""
"QUANTUM TRADE WHOLESALE";"QUANTUM TRADE WHOLESALE";""
"Quartz Insurance Brokers Ltd";"Quartz Insurance Brokers Ltd";""
"QUBO INSURANCE SOLUTIONS SRL";"QUBO INSURANCE SOLUTIONS SRL";"Milaan"
"Queensgate Financial Advisers Limited";"Queensgate Financial Advisers Limited";"EXETER - DEVON"
"QUENTIS GROUP";"QUENTIS GROUP";""
"QUENTIS GROUP a.s.";"QUENTIS GROUP a.s.";"Praha"
"QUERCUS INVEST BVBA";"QUERCUS INVEST BVBA";""
"Questor Insurance Services Limited";"Questor Insurance Services Limited";""
"Quickservice Kievit B.V.";"Quickservice Kievit B.V., Quickservice Kievit B.V.";"ROTTERDAM"
"Quickservice Kievit Hellevoetsluis B.V.";"Quickservice Kievit Hellevoetsluis B.V.";"HELLEVOETSLUIS"
"Quidum BVBA";"Quidum BVBA";""
"QUILVEST BANQUE PRIVEE";"QUILVEST BANQUE PRIVEE";"Parijs"
"Quinten Adviesgroep B.V.";"Quinten Adviesgroep B.V.";"LIMMEN"
"Quintes B.V.";"Quintes BV, Quintes B.V.";"UDEN"
"Quintes Groep B.V.";"Quintes groep BV, Quintes Groep B.V.";"UDEN"
"Quion 10 B.V.";"Quion 10 B.V.";"ROTTERDAM"
"Quion 17 B.V.";"Quion 17 B.V.";"ROTTERDAM"
"Quion 20 B.V.";"Quion 20 B.V., Quion 20 B.V.";"ROTTERDAM"
"Quion 30 B.V.";"Quion 30 B.V.";"'S-GRAVENHAGE"
"Quion 50 B.V.";"Quion 50 B.V.";"AMSTERDAM"
"Quion 9 B.V.";"Quion 9 B.V.";"ROTTERDAM"
"Quion Groep B.V.";"Quion Groep B.V., Quion Groep B.V., Quion Group";"ROTTERDAM"
"Quion Hypotheekbegeleiding B.V.";"Quion Hypotheekbegeleiding B.V.";"ROTTERDAM"
"Quion Hypotheekbemiddeling B.V.";"IQWOON, Erasmus Hypotheken, Erasmus Hypotheken Centrum, Falcon Hypotheken, Generali Hypotheken Centrum, HQ Hypotheken, Hypotrust, Inbiznis Hypotheekplatform, Univé Stad en Land Hypotheken, Quion Hypotheekbemiddeling B.V.";"ROTTERDAM"
"Quion Services B.V.";"Quion Services B.V.";"ROTTERDAM"
"Quispel Management Consultancy B.V.";"Quispel Management Consultancy B.V.";"ROTTERDAM"
"Quist Tweewielers";"Profile Quist ""de Fietsspecialist"", Quist Tweewielers";"'s-Gravenhage"
"Quitantie B.V.";"Quitantie B.V.";"GEMEENTE ROERMOND"
"Qui-Vive Verzekeringen BVBA";"Qui-Vive Verzekeringen BVBA";""
"Quorim B.V.";"Het Zeeuws Belang, Quorim, Quorim B.V.";"SON EN BREUGEL"
"Quotiënt Groep B.V.";"Krediet en Advies, Krediet en Advies Nederland, Kredietdienst Nederland, Wegwijs in Financieringen, Wegwijs in Hypotheken, Quotiënt Groep B.V.";"ENSCHEDE"
"Quro Groep B.V.";"Quro Groep B.V., Quro Finance, Quro Groep Uden, Quro Groep";"UDEN"
"R A Cowen & Partners (Financial Services) Ltd";"R A Cowen & Partners (Financial Services) Ltd";"MANSFIELD - NOTTINGHAMSHIRE"
"R DE CAMPOU ET FILS";"R DE CAMPOU ET FILS";"Marseille"
"R K Harrison Financial Risks Limited  (App. Repres. for R K Harrison Insurance Brokers Limited)";"R K Harrison Financial Risks Limited  (App. Repres. for R K Harrison Insurance Brokers Limited)";"BEDFORD, BEDFORDSHIRE"
"R K Harrison Group Limited";"R K Harrison Group Limited";""
"R K Harrison Group Limited  (App. Repres. for R K Harrison Insurance Brokers Limited)";"R K Harrison Group Limited  (App. Repres. for R K Harrison Insurance Brokers Limited)";"BEDFORD, BEDFORDSHIRE"
"R L Davison & Co Ltd";"R L Davison & Co Ltd";""
"R P Financial Planning Ltd";"R P Financial Planning Ltd";"EASTLEIGH - HAMPSHIRE"
"R P Hodson Insurance Brokers Limited";"R P Hodson Insurance Brokers Limited";""
